cells,ens_id,gene
T_memory,ENSG00000170634,ACYP2
T_memory,ENSG00000163001,CFAP36
T_memory,ENSG00000237651,C2orf74
T_memory,ENSG00000115484,CCT4
T_memory,ENSG00000138071,ACTR2
T_memory,ENSG00000221823,PPP3R1
T_memory,ENSG00000115956,PLEK
T_memory,ENSG00000124380,SNRNP27
T_memory,ENSG00000114956,DGUOK
T_memory,ENSG00000114978,MOB1A
T_memory,ENSG00000115274,INO80B
T_memory,ENSG00000115364,MRPL19
T_memory,ENSG00000186854,TRABD2A
T_memory,ENSG00000042493,CAPG
T_memory,ENSG00000168899,VAMP5
T_memory,ENSG00000115523,GNLY
T_memory,ENSG00000132305,IMMT
T_memory,ENSG00000273080,AC009309.1
T_memory,ENSG00000183281,PLGLB1
T_memory,ENSG00000172005,MAL
T_memory,ENSG00000144026,ZNF514
T_memory,ENSG00000115446,UNC50
T_memory,ENSG00000135951,TSGA10
T_memory,ENSG00000273045,C2orf15
T_memory,ENSG00000144182,LIPT1
T_memory,ENSG00000185674,LYG2
T_memory,ENSG00000115604,IL18R1
T_memory,ENSG00000135968,GCC2
T_memory,ENSG00000186522,SEPT10
T_memory,ENSG00000144161,ZC3H8
T_memory,ENSG00000088179,PTPN4
T_memory,ENSG00000136717,BIN1
T_memory,ENSG00000144231,POLR2D
T_memory,ENSG00000136710,CCDC115
T_memory,ENSG00000173272,MZT2A
T_memory,ENSG00000115866,DARS
T_memory,ENSG00000184898,RBM43
T_memory,ENSG00000123609,NMI
T_memory,ENSG00000196151,WDSUB1
T_memory,ENSG00000226266,AC009961.1
T_memory,ENSG00000054219,LY75
T_memory,ENSG00000144362,PHOSPHO2
T_memory,ENSG00000138385,SSB
T_memory,ENSG00000198586,TLK1
T_memory,ENSG00000123600,METTL8
T_memory,ENSG00000154518,ATP5MC3
T_memory,ENSG00000144320,LNPK
T_memory,ENSG00000187231,SESTD1
T_memory,ENSG00000170035,UBE2E3
T_memory,ENSG00000138449,SLC40A1
T_memory,ENSG00000138381,ASNSD1
T_memory,ENSG00000198130,HIBCH
T_memory,ENSG00000081320,STK17B
T_memory,ENSG00000272211,AC114760.2
T_memory,ENSG00000119041,GTF3C3
T_memory,ENSG00000231621,AC013264.1
T_memory,ENSG00000144381,HSPD1
T_memory,ENSG00000240344,PPIL3
T_memory,ENSG00000003402,CFLAR
T_memory,ENSG00000138439,FAM117B
T_memory,ENSG00000163599,CTLA4
T_memory,ENSG00000118260,CREB1
T_memory,ENSG00000144401,METTL21A
T_memory,ENSG00000138363,ATIC
T_memory,ENSG00000127838,PNKD
T_memory,ENSG00000144580,CNOT9
T_memory,ENSG00000163481,RNF25
T_memory,ENSG00000144567,RETREG2
T_memory,ENSG00000116106,EPHA4
T_memory,ENSG00000135919,SERPINE2
T_memory,ENSG00000036257,CUL3
T_memory,ENSG00000225963,AC009950.1
T_memory,ENSG00000135899,SP110
T_memory,ENSG00000135916,ITM2C
T_memory,ENSG00000173692,PSMD1
T_memory,ENSG00000115053,NCL
T_memory,ENSG00000187514,PTMA
T_memory,ENSG00000188042,ARL4C
T_memory,ENSG00000184182,UBE2F
T_memory,ENSG00000130414,NDUFA10
T_memory,ENSG00000122085,MTERF4
T_memory,ENSG00000115687,PASK
T_memory,ENSG00000168385,SEPT2
T_memory,ENSG00000006607,FARP2
T_memory,ENSG00000271870,AC024060.1
T_memory,ENSG00000144455,SUMF1
T_memory,ENSG00000231177,LINC00852
T_memory,ENSG00000154767,XPC
T_memory,ENSG00000177463,NR2C2
T_memory,ENSG00000154814,OXNAD1
T_memory,ENSG00000271964,AC090948.1
T_memory,ENSG00000182568,SATB1
T_memory,ENSG00000033867,SLC4A7
T_memory,ENSG00000163513,TGFBR2
T_memory,ENSG00000144645,OSBPL10
T_memory,ENSG00000170293,CMTM8
T_memory,ENSG00000153551,CMTM7
T_memory,ENSG00000170248,PDCD6IP
T_memory,ENSG00000178567,EPM2AIP1
T_memory,ENSG00000223797,ENTPD3-AS1
T_memory,ENSG00000188846,RPL14
T_memory,ENSG00000168038,ULK4
T_memory,ENSG00000196653,ZNF502
T_memory,ENSG00000160796,NBEAL2
T_memory,ENSG00000232112,TMA7
T_memory,ENSG00000164054,SHISA5
T_memory,ENSG00000068745,IP6K2
T_memory,ENSG00000004534,RBM6
T_memory,ENSG00000186792,HYAL3
T_memory,ENSG00000068028,RASSF1
T_memory,ENSG00000164080,RAD54L2
T_memory,ENSG00000164086,DUSP7
T_memory,ENSG00000164088,PPM1M
T_memory,ENSG00000164091,WDR82
T_memory,ENSG00000114854,TNNC1
T_memory,ENSG00000114902,SPCS1
T_memory,ENSG00000163933,RFT1
T_memory,ENSG00000180376,CCDC66
T_memory,ENSG00000163634,THOC7
T_memory,ENSG00000144741,SLC25A26
T_memory,ENSG00000144749,LRIG1
T_memory,ENSG00000144744,UBA3
T_memory,ENSG00000144746,ARL6IP5
T_memory,ENSG00000163380,LMOD3
T_memory,ENSG00000114541,FRMD4B
T_memory,ENSG00000114480,GBE1
T_memory,ENSG00000163320,CGGBP1
T_memory,ENSG00000178700,DHFR2
T_memory,ENSG00000144815,NXPE3
T_memory,ENSG00000114423,CBLB
T_memory,ENSG00000196776,CD47
T_memory,ENSG00000163519,TRAT1
T_memory,ENSG00000144827,ABHD10
T_memory,ENSG00000239453,SIDT1-AS1
T_memory,ENSG00000178075,GRAMD1C
T_memory,ENSG00000241490,AC093010.2
T_memory,ENSG00000160124,CCDC58
T_memory,ENSG00000272758,AC083798.2
T_memory,ENSG00000169087,HSPBAP1
T_memory,ENSG00000163870,TPRA1
T_memory,ENSG00000017260,ATP2C1
T_memory,ENSG00000113971,NPHP3
T_memory,ENSG00000129055,ANAPC13
T_memory,ENSG00000163754,GYG1
T_memory,ENSG00000114744,COMMD2
T_memory,ENSG00000070087,PFN2
T_memory,ENSG00000144895,EIF2A
T_memory,ENSG00000240137,ERICH6-AS1
T_memory,ENSG00000174953,DHX36
T_memory,ENSG00000114850,SSR3
T_memory,ENSG00000243926,TIPARP-AS1
T_memory,ENSG00000243150,AC106707.1
T_memory,ENSG00000173890,GPR160
T_memory,ENSG00000173889,PHC3
T_memory,ENSG00000177565,TBL1XR1
T_memory,ENSG00000172667,ZMAT3
T_memory,ENSG00000121864,ZNF639
T_memory,ENSG00000172578,KLHL6
T_memory,ENSG00000163904,SENP2
T_memory,ENSG00000232233,LINC02043
T_memory,ENSG00000185112,FAM43A
T_memory,ENSG00000229178,AC233280.1
T_memory,ENSG00000242086,MUC20-OT1
T_memory,ENSG00000163961,RNF168
T_memory,ENSG00000131127,ZNF141
T_memory,ENSG00000272927,AC107464.3
T_memory,ENSG00000127419,TMEM175
T_memory,ENSG00000244459,AC147067.1
T_memory,ENSG00000123933,MXD4
T_memory,ENSG00000168824,NSG1
T_memory,ENSG00000251580,LINC02482
T_memory,ENSG00000178163,ZNF518B
T_memory,ENSG00000151552,QDPR
T_memory,ENSG00000002549,LAP3
T_memory,ENSG00000047662,FAM184B
T_memory,ENSG00000109689,STIM2
T_memory,ENSG00000240005,AC106047.1
T_memory,ENSG00000174125,TLR1
T_memory,ENSG00000121895,TMEM156
T_memory,ENSG00000109814,UGDH
T_memory,ENSG00000128039,SRD5A3
T_memory,ENSG00000128059,PPAT
T_memory,ENSG00000171476,HOPX
T_memory,ENSG00000128040,SPINK2
T_memory,ENSG00000033178,UBA6
T_memory,ENSG00000138757,G3BP2
T_memory,ENSG00000138744,"NAAA"
T_memory,ENSG00000138767,CNOT6L
T_memory,ENSG00000169288,MRPL1
T_memory,ENSG00000273156,AC124016.2
T_memory,ENSG00000251022,THAP9-AS1
T_memory,ENSG00000138678,GPAT3
T_memory,ENSG00000198189,HSD17B11
T_memory,ENSG00000248019,FAM13A-AS1
T_memory,ENSG00000138698,RAP1GDS1
T_memory,ENSG00000197894,ADH5
T_memory,ENSG00000164032,H2AFZ
T_memory,ENSG00000254531,AP001816.1
T_memory,ENSG00000109323,MANBA
T_memory,ENSG00000145354,CISD2
T_memory,ENSG00000164039,BDH2
T_memory,ENSG00000145365,TIFA
T_memory,ENSG00000073331,ALPK1
T_memory,ENSG00000269893,SNHG8
T_memory,ENSG00000145390,USP53
T_memory,ENSG00000164111,ANXA5
T_memory,ENSG00000077684,JADE1
T_memory,ENSG00000151466,SCLT1
T_memory,ENSG00000151470,C4orf33
T_memory,ENSG00000164134,"NAA15"
T_memory,ENSG00000172007,RAB33B
T_memory,ENSG00000085871,MGST2
T_memory,ENSG00000245954,LINC02273
T_memory,ENSG00000145428,RNF175
T_memory,ENSG00000137628,DDX60
T_memory,ENSG00000181381,DDX60L
T_memory,ENSG00000145439,CBR4
T_memory,ENSG00000137601,NEK1
T_memory,ENSG00000038002,AGA
T_memory,ENSG00000145476,CYP4V2
T_memory,ENSG00000221990,EXOC3-AS1
T_memory,ENSG00000180104,EXOC3
T_memory,ENSG00000124279,FASTKD3
T_memory,ENSG00000248874,C5orf17
T_memory,ENSG00000164327,RICTOR
T_memory,ENSG00000082074,FYB1
T_memory,ENSG00000198865,CCDC152
T_memory,ENSG00000170571,EMB
T_memory,ENSG00000145649,GZMA
T_memory,ENSG00000134352,IL6ST
T_memory,ENSG00000155542,SETD9
T_memory,ENSG00000049192,ADAMTS6
T_memory,ENSG00000123219,CENPK
T_memory,ENSG00000113593,PPWD1
T_memory,ENSG00000113595,TRIM23
T_memory,ENSG00000197860,SGTB
T_memory,ENSG00000197822,OCLN
T_memory,ENSG00000183474,GTF2H2C
T_memory,ENSG00000145741,BTF3
T_memory,ENSG00000164346,NSA2
T_memory,ENSG00000145703,IQGAP2
T_memory,ENSG00000164253,WDR41
T_memory,ENSG00000171530,TBCA
T_memory,ENSG00000164300,SERINC5
T_memory,ENSG00000186468,RPS23
T_memory,ENSG00000205464,ATP6AP1L
T_memory,ENSG00000173221,GLRX
T_memory,ENSG00000153113,CAST
T_memory,ENSG00000164308,ERAP2
T_memory,ENSG00000248489,LINC02062
T_memory,ENSG00000152495,CAMK4
T_memory,ENSG00000153037,SRP19
T_memory,ENSG00000172795,DCP2
T_memory,ENSG00000164219,PGGT1B
T_memory,ENSG00000173926,MARCH3
T_memory,ENSG00000164241,C5orf63
T_memory,ENSG00000158985,CDC42SE2
T_memory,ENSG00000125347,IRF1
T_memory,ENSG00000131437,KIF3A
T_memory,ENSG00000113558,SKP1
T_memory,ENSG00000164615,CAMLG
T_memory,ENSG00000113658,SMAD5
T_memory,ENSG00000184584,TMEM173
T_memory,ENSG00000213523,SRA1
T_memory,ENSG00000113119,TMCO6
T_memory,ENSG00000146007,ZMAT2
T_memory,ENSG00000131507,NDFIP1
T_memory,ENSG00000145817,YIPF5
T_memory,ENSG00000176049,JAKMIP2
T_memory,ENSG00000164284,GRPEL2
T_memory,ENSG00000155846,PPARGC1B
T_memory,ENSG00000164587,RPS14
T_memory,ENSG00000197043,ANXA6
T_memory,ENSG00000155506,LARP1
T_memory,ENSG00000170271,FAXDC2
T_memory,ENSG00000135074,ADAM19
T_memory,ENSG00000170234,PWWP2A
T_memory,ENSG00000164611,PTTG1
T_memory,ENSG00000113328,CCNG1
T_memory,ENSG00000182230,FAM153B
T_memory,ENSG00000146066,HIGD2A
T_memory,ENSG00000169230,PRELID1
T_memory,ENSG00000169223,LMAN2
T_memory,ENSG00000183258,DDX41
T_memory,ENSG00000184840,TMED9
T_memory,ENSG00000170074,FAM153A
T_memory,ENSG00000169045,HNRNPH1
T_memory,ENSG00000113300,CNOT6
T_memory,ENSG00000161055,SCGB3A1
T_memory,ENSG00000131446,MGAT1
T_memory,ENSG00000250903,GMDS-DT
T_memory,ENSG00000021355,SERPINB1
T_memory,ENSG00000170542,SERPINB9
T_memory,ENSG00000124570,SERPINB6
T_memory,ENSG00000124588,NQO2
T_memory,ENSG00000124782,RREB1
T_memory,ENSG00000112137,PHACTR1
T_memory,ENSG00000047579,DTNBP1
T_memory,ENSG00000079691,CARMIL1
T_memory,ENSG00000124575,HIST1H1D
T_memory,ENSG00000186470,BTN3A2
T_memory,ENSG00000112763,BTN2A1
T_memory,ENSG00000206503,HLA-A
T_memory,ENSG00000066379,ZNRD1
T_memory,ENSG00000204592,HLA-E
T_memory,ENSG00000137312,FLOT1
T_memory,ENSG00000137331,IER3
T_memory,ENSG00000214894,LINC00243
T_memory,ENSG00000272501,AL662844.4
T_memory,ENSG00000234745,HLA-B
T_memory,ENSG00000272221,AL645933.2
T_memory,ENSG00000204520,MICA
T_memory,ENSG00000204516,MICB
T_memory,ENSG00000204482,LST1
T_memory,ENSG00000204472,AIF1
T_memory,ENSG00000204387,C6orf48
T_memory,ENSG00000204308,RNF5
T_memory,ENSG00000198502,HLA-DRB5
T_memory,ENSG00000196126,HLA-DRB1
T_memory,ENSG00000179344,HLA-DQB1
T_memory,ENSG00000237541,HLA-DQA2
T_memory,ENSG00000204267,TAP2
T_memory,ENSG00000231389,HLA-DPA1
T_memory,ENSG00000231500,RPS18
T_memory,ENSG00000231925,TAPBP
T_memory,ENSG00000124614,RPS10
T_memory,ENSG00000065060,UHRF1BP1
T_memory,ENSG00000198755,RPL10A
T_memory,ENSG00000112081,SRSF3
T_memory,ENSG00000164530,PI16
