cells,ens_id,gene
T_naive,ENSG00000065911,MTHFD2
T_naive,ENSG00000204843,DCTN1
T_naive,ENSG00000115274,INO80B
T_naive,ENSG00000204822,MRPL53
T_naive,ENSG00000042493,CAPG
T_naive,ENSG00000168899,VAMP5
T_naive,ENSG00000132305,IMMT
T_naive,ENSG00000213337,ANKRD39
T_naive,ENSG00000168754,FAM178B
T_naive,ENSG00000196912,ANKRD36B
T_naive,ENSG00000115085,ZAP70
T_naive,ENSG00000135951,TSGA10
T_naive,ENSG00000273045,C2orf15
T_naive,ENSG00000144182,LIPT1
T_naive,ENSG00000158411,MITD1
T_naive,ENSG00000170417,TMEM182
T_naive,ENSG00000135968,GCC2
T_naive,ENSG00000186522,SEPT10
T_naive,ENSG00000144161,ZC3H8
T_naive,ENSG00000088179,PTPN4
T_naive,ENSG00000136732,GYPC
T_naive,ENSG00000136717,BIN1
T_naive,ENSG00000144231,POLR2D
T_naive,ENSG00000136718,IMP4
T_naive,ENSG00000173272,MZT2A
T_naive,ENSG00000184898,RBM43
T_naive,ENSG00000123609,NMI
T_naive,ENSG00000196504,PRPF40A
T_naive,ENSG00000196151,WDSUB1
T_naive,ENSG00000054219,LY75
T_naive,ENSG00000153250,RBMS1
T_naive,ENSG00000138398,PPIG
T_naive,ENSG00000144362,PHOSPHO2
T_naive,ENSG00000198586,TLK1
T_naive,ENSG00000115840,SLC25A12
T_naive,ENSG00000138430,OLA1
T_naive,ENSG00000163328,GPR155
T_naive,ENSG00000144320,LNPK
T_naive,ENSG00000187231,SESTD1
T_naive,ENSG00000115232,ITGA4
T_naive,ENSG00000138449,SLC40A1
T_naive,ENSG00000138381,ASNSD1
T_naive,ENSG00000081320,STK17B
T_naive,ENSG00000229056,AC020571.1
T_naive,ENSG00000119041,GTF3C3
T_naive,ENSG00000231621,AC013264.1
T_naive,ENSG00000003393,ALS2
T_naive,ENSG00000138439,FAM117B
T_naive,ENSG00000163596,ICA1L
T_naive,ENSG00000163599,CTLA4
T_naive,ENSG00000144567,RETREG2
T_naive,ENSG00000115661,STK16
T_naive,ENSG00000135919,SERPINE2
T_naive,ENSG00000036257,CUL3
T_naive,ENSG00000225963,AC009950.1
T_naive,ENSG00000135899,SP110
T_naive,ENSG00000079263,SP140
T_naive,ENSG00000187514,PTMA
T_naive,ENSG00000184182,UBE2F
T_naive,ENSG00000162804,SNED1
T_naive,ENSG00000115687,PASK
T_naive,ENSG00000168385,SEPT2
T_naive,ENSG00000180902,D2HGDH
T_naive,ENSG00000271870,AC024060.1
T_naive,ENSG00000206573,THUMPD3-AS1
T_naive,ENSG00000171135,JAGN1
T_naive,ENSG00000254999,BRK1
T_naive,ENSG00000231177,LINC00852
T_naive,ENSG00000157017,GHRL
T_naive,ENSG00000154767,XPC
T_naive,ENSG00000131370,SH3BP5
T_naive,ENSG00000154814,OXNAD1
T_naive,ENSG00000271964,AC090948.1
T_naive,ENSG00000154822,PLCL2
T_naive,ENSG00000131374,TBC1D5
T_naive,ENSG00000163512,AZI2
T_naive,ENSG00000163513,TGFBR2
T_naive,ENSG00000170293,CMTM8
T_naive,ENSG00000170266,GLB1
T_naive,ENSG00000170248,PDCD6IP
T_naive,ENSG00000114739,ACVR2B
T_naive,ENSG00000168028,RPSA
T_naive,ENSG00000223797,ENTPD3-AS1
T_naive,ENSG00000188846,RPL14
T_naive,ENSG00000177873,ZNF619
T_naive,ENSG00000168038,ULK4
T_naive,ENSG00000196653,ZNF502
T_naive,ENSG00000144791,LIMD1
T_naive,ENSG00000211456,SACM1L
T_naive,ENSG00000160799,CCDC12
T_naive,ENSG00000114648,KLHL18
T_naive,ENSG00000232112,TMA7
T_naive,ENSG00000164054,SHISA5
T_naive,ENSG00000198218,QRICH1
T_naive,ENSG00000173402,DAG1
T_naive,ENSG00000004534,RBM6
T_naive,ENSG00000114353,GNAI2
T_naive,ENSG00000164080,RAD54L2
T_naive,ENSG00000248487,ABHD14A
T_naive,ENSG00000164088,PPM1M
T_naive,ENSG00000114902,SPCS1
T_naive,ENSG00000180376,CCDC66
T_naive,ENSG00000163946,FAM208A
T_naive,ENSG00000144749,LRIG1
T_naive,ENSG00000144746,ARL6IP5
T_naive,ENSG00000163380,LMOD3
T_naive,ENSG00000163320,CGGBP1
T_naive,ENSG00000175105,ZNF654
